1.267,1.095	94.545,0.016	0.019,104.164	1.452,104.164
93.313,0.177	0.022,97.860
97.746,0.173	0.034,248.817
0.893,0.758	69.433,0.009	0.010,33.966
1.448,4.714	116.211,0.055	0.041,468.888
5.158,0.178	289.842,0.178	0.188,128.256	10.581,15.593
4.570,0.049	441.969,0.049	0.069,3.620	0.069,115.725
226.440,0.012	0.105,104.900	4.172,104.900
3.852,4.154	107.035,0.068	0.041,130.951
116.951,0.012	0.089,48.587
2.486,0.002	58.871,0.002	0.028,11.146
0.001,1.774	0.001,97.650
0.836,1.632	70.665,0.049	0.095,105.518
1.237,0.015	108.703,0.015	0.061,22.400
1.112,1.355	70.882,0.022	0.011,54.004
204.912,0.048	0.128,403.667	6.588,403.667
2.847,1.251	236.929,0.024	0.055,63.789
577.377,0.064	577.377,1.063
0.476,3.026	25.310,0.093	0.005,234.520
84.989,0.029	84.989,2.432	0.107,137.537
68.581,0.051	0.465,45.540
75.903,0.030	0.118,44.721
6.040,0.081	119.433,0.081	0.078,125.582
338.835,0.033	0.311,0.368	0.311,18.519
0.751,0.405	41.116,0.010	0.026,17.124
83.733,0.098	0.042,4.723	0.042,299.651
1.116,0.179	62.407,0.014	1.116,8.861
0.623,0.501	38.190,0.023	0.013,46.233
160.459,0.052	160.459,4.105	0.284,209.425	3.161,209.425
0.453,152.838	24.108,104.170
2.749,0.609	87.236,0.021	0.154,58.561
101.780,0.045	0.015,57.713
0.051,167.237
0.250,2.882	19.360,0.044	0.005,213.633
102.077,0.160	0.080,56.621	6.173,56.621
7.284,0.012	236.029,0.012	0.096,44.395
159.280,0.008	0.037,13.107	2.196,13.107
1.291,1.515	126.242,0.017	0.152,131.969
100.291,0.020	0.038,112.813
0.457,0.484	44.710,0.020	0.241,40.973
19.542,0.048	0.005,118.915
328.727,0.079	328.727,3.158	0.076,173.582
0.902,0.730	49.181,0.013	0.014,55.919
1.230,4.666	121.226,0.068	0.075,223.232
489.114,0.071	0.490,68.806
11.818,0.012	0.096,75.553	0.570,75.553
9.858,0.080	101.173,0.080	0.135,204.135
5.119,0.159	336.663,0.159	4.611,8.736	303.266,8.736
160.261,0.418	0.030,664.857
0.787,4.136	24.258,0.100	0.010,230.550
102.317,0.028	0.063,1.606	0.063,130.648
69.756,0.164	0.011,246.956
85.720,0.324	85.720,1.366	0.010,119.482
0.747,0.123	54.982,0.005
306.141,0.046	0.329,50.219
26.359,0.035	0.161,95.469
0.904,1.111	83.102,0.013	0.011,22.766
3.520,4.092	152.983,0.110	0.189,362.296
698.684,0.045	0.274,2.668	0.274,127.822
180.465,0.019
37.406,0.121	0.006,6.231	0.006,137.100
37.459,0.009	0.006,0.922	0.006,37.175
61.386,0.037	0.802,4.496
265.765,0.390	0.102,162.948
14.331,0.232	0.017,456.870
578.110,0.065	0.138,19.552
332.438,0.112	22.204,9.867
72.238,0.206	5.360,10.762
77.134,0.154	0.147,298.563	14.672,12.481
1.261,1.625	113.843,0.193	0.023,120.226	2.096,120.226
1.553,1.148	123.387,0.018	0.061,4.949	4.873,4.949
2.362,1.516	68.120,0.019	0.033,112.390
181.250,0.310	0.053,90.627
99.048,0.640	0.072,345.583
1.047,0.388	85.548,0.077	85.548,6.307	0.011,31.777
96.322,0.212	96.322,5.055	0.179,112.304
1.578,0.483	34.867,0.483	0.018,136.413
12.432,0.142	0.002,3.506	0.002,225.801
126.109,0.010	0.287,20.738
0.363,2.464	17.007,0.061	0.006,61.934
115.742,0.104	115.742,8.252	0.670,289.677
164.701,0.012	164.701,0.567	0.137,28.326
2.055,0.398	72.456,0.009	0.057,34.032
177.485,0.471	0.324,276.554
31.180,0.011	0.036,50.950	1.277,50.950
0.213,0.025	11.821,0.000
64.736,0.038	0.292,86.554
1.514,0.334	150.890,0.008	0.040,2.713
5.403,0.168	252.455,0.168	0.319,183.682	14.895,12.078
0.842,2.869	51.009,0.048	0.012,83.397
1.345,0.734	132.440,0.012	0.066,70.139
5.143,0.117	160.276,0.117	0.286,132.773
143.766,0.325	0.057,108.255	5.642,108.255
30.314,0.045	0.009,324.073	0.347,324.073
292.322,0.096	0.140,93.756	9.004,6.853
0.005,314.783
0.085,1.146	8.410,1.146	0.001,110.068
60.704,0.263	0.088,48.673
2.975,3.499	94.611,0.158	0.145,236.613
241.756,0.058	241.756,3.793	1.158,186.329
4.662,0.838	121.324,0.838	0.065,48.912
56.451,0.047	0.352,84.174
4.822,0.505	70.423,0.505	1.429,804.770	20.868,23.165
244.737,0.015	0.120,75.001
34.465,0.786	0.007,440.264
32.816,0.044	0.232,139.989
111.840,0.028	0.074,2.736	0.074,69.779
1.302,0.165	84.102,0.165	0.027,3.402	0.027,139.157
121.470,0.588	0.028,1.674	0.028,161.770
0.793,1.470	23.292,0.019	0.011,112.469
1.639,0.881	113.694,0.015	0.028,65.691
0.865,0.092	61.515,0.001
66.625,0.205	0.015,1.361	0.015,109.872
59.398,0.074	0.329,65.283
0.719,0.899	67.283,0.594	0.013,72.206
1.499,1.066	124.405,0.016	0.021,95.761
124.839,0.025	0.242,55.777
260.645,0.638	1.694,141.347
1.493,0.324	23.319,0.008	0.016,30.220
0.407,1.564	28.675,0.032	0.037,75.337	2.636,75.337
615.898,0.018	0.140,22.974
7.260,0.006	527.914,0.006	0.325,27.581
62.902,0.203	0.050,234.884
2.726,0.634	229.760,0.008	0.056,28.326
0.359,2.440	13.389,0.027	0.004,88.873
253.983,0.022
207.029,0.324	0.152,674.428
122.889,0.003	0.534,6.933
38.247,0.025	0.026,28.675
650.219,0.023	0.141,106.688
76.189,0.014	76.189,1.066	0.120,89.590
65.493,0.047	0.009,131.241
82.061,0.056	0.020,236.577
178.936,0.004	0.119,31.197	2.147,31.197
67.382,0.934	0.018,205.388
0.002,1.767	0.002,121.672
0.579,2.080	23.624,0.021	0.009,195.040
171.250,0.033	0.048,0.860	0.048,65.377
1.336,2.301	133.517,0.032	0.233,178.316
0.108,0.560	0.006,28.910
1.823,2.107	28.738,0.022	0.024,198.076
87.601,0.528	0.049,139.836
0.449,0.833	41.435,0.038	41.435,2.992	0.013,64.897
0.138,0.425	0.041,32.563
2.091,0.025	78.769,0.025	0.061,11.680
0.448,2.309	37.482,0.044	37.482,3.593	0.111,187.825
0.684,1.171	51.227,0.021	0.067,87.494
63.277,0.038	0.160,85.103
93.972,0.028	0.109,14.683	2.074,14.683
0.714,5.990	27.494,0.910	0.013,120.041
0.066,2.043	0.003,92.372
62.275,0.070	0.090,1.637	0.090,65.700
0.995,0.267	96.947,0.167	0.048,16.138
1.010,268.839	88.865,195.786
1.196,2.472	59.751,0.025	0.031,103.698
1.362,1.413	119.534,0.386	0.064,124.919
1.130,0.760	46.570,0.760	0.128,187.016
2.173,0.401	171.625,0.010	1.574,37.600
3.016,0.633	57.506,0.633	0.033,281.141
1.617,1.191	113.973,0.023	0.029,113.119
0.902,5.492	78.347,0.061	0.011,228.315
89.651,0.286	0.141,127.622
43.259,0.027	43.259,2.339	0.008,36.208
0.157,1.562	9.600,0.053	0.006,128.257
238.696,0.035
1.873,0.001	83.714,0.001
1.296,2.036	59.755,0.054	0.142,166.224
429.563,0.160	0.458,40.030	13.571,9.359
0.209,1.008	16.129,0.011	0.002,31.390
4.672,0.052	50.679,0.001
149.399,0.133	0.508,3.799	0.508,99.628
114.172,0.263	0.027,660.617	1.552,660.617
186.318,0.188	0.035,207.019	3.304,207.019
0.577,4.588	5.613,0.163	0.577,68.666
21.305,0.027	0.175,81.729
1.296,5.487	85.871,0.162	0.039,156.314
1.960,0.011	134.366,0.011	0.047,101.956
0.666,0.894	35.488,0.073	0.012,48.659
0.029,582.848
110.904,0.009	0.025,65.455
178.023,0.010
51.291,0.087	51.291,1.917	0.008,39.856
4.519,1.515	259.862,0.019	1.035,118.181
134.217,0.285	0.027,7.555	0.027,311.792
28.551,0.474	0.009,137.402
104.927,0.006
73.629,1.962	0.081,421.198
8.841,0.534	8.841,2.669	0.004,101.591
0.923,2.294	73.341,0.119	0.017,204.026
0.106,4.949	0.106,253.599
122.590,0.040	0.095,1.480	0.095,15.157
106.721,0.490	0.219,306.804
129.519,0.054	0.663,83.433
137.296,0.042	137.296,3.565	0.729,86.108
252.717,0.023	252.717,0.765	0.041,41.875
0.907,3.804	86.287,0.049	0.025,35.608
2.145,0.033	74.556,0.033	0.046,102.954
0.372,1.595	21.037,0.022	0.004,114.177
197.623,0.064	0.206,34.684
0.019,101.481	1.175,101.481
120.774,0.078	1.775,98.616
141.992,0.006	0.331,25.660
0.892,0.257	88.120,0.005	0.010,18.352
2.238,1.148	102.784,0.047	0.149,85.526	6.836,85.526
242.820,0.182	242.820,6.476	0.059,468.684
1.809,0.069	156.414,0.002	0.025,4.469
4.703,0.036	243.550,0.036	0.081,2.081	0.081,89.278
81.124,0.154	0.338,463.594
270.542,0.014	0.371,91.416
247.648,0.023	0.302,47.998
26.038,0.038
53.383,1.122	0.007,108.877
80.524,0.326	0.017,577.318
96.471,0.050	0.100,5.006	0.100,269.693
110.543,0.071	110.543,4.293	0.025,135.936	1.376,135.936
308.109,4.371	0.035,209.054
153.155,0.076	0.043,0.764	0.043,46.562
0.081,258.356	4.581,258.356
6.018,0.007	516.441,0.007
1.837,3.772	175.371,0.061	0.041,92.209	3.929,92.209
96.819,0.352	96.819,2.836
86.034,0.134	0.009,163.825
37.866,0.058	0.028,3.843	0.028,287.063
0.625,0.028	26.861,0.028	0.021,1.697	0.021,15.736
13.540,0.044	0.002,421.627
125.246,0.061	0.050,3.705	0.050,134.530
0.535,2.798	38.161,0.035	0.014,159.773
200.720,0.247	0.649,103.996
0.712,0.154	52.289,0.043	52.289,3.225	0.113,11.580
103.540,0.046	0.027,4.285	0.027,68.117
2.887,7.308	104.781,0.094	0.652,81.518
1.929,0.770	71.485,0.022	0.034,66.085
1.839,0.018	176.913,0.018	0.077,106.763
3.624,0.021	201.960,0.021	0.072,84.608
0.420,0.041	39.275,0.041	0.420,2.669	39.275,2.669	0.022,153.346
45.370,0.238	0.385,139.876	8.885,9.863
46.901,0.099	0.048,0.958	0.048,80.200
1.324,1.451	122.190,0.020	0.020,92.317
1.116,2.388	71.182,0.032	0.267,135.187
91.185,0.108	0.505,2.621	0.505,50.223
1.326,1.221	125.267,0.015	0.015,96.376
20.667,0.362	0.010,268.295
68.188,1.638	0.029,8.181	0.029,802.894
156.948,0.403	0.081,112.646	6.474,26.476
161.148,0.114	0.102,110.318	8.184,8.502
441.061,1.560	0.055,5.634	4.564,5.634	0.055,151.296	4.564,151.296
1.262,0.834	114.075,0.037	0.020,31.719
1.035,0.475	77.239,0.010	0.015,20.075
0.714,1.631	69.489,0.091	0.018,150.570
153.099,1.127	0.033,593.873
92.627,0.125	0.015,95.925
0.809,1.346	74.366,0.032	0.022,85.703
30.126,0.069	0.007,4.805	0.007,121.408
108.445,0.159	0.100,57.276
1.204,3.694	119.934,0.718	0.072,79.916	7.208,79.916
1.024,2.538	48.514,0.028	0.222,21.422
199.841,0.044	0.393,101.882
90.590,0.046	90.590,1.730	0.221,119.503
528.539,0.149	0.198,4.578	0.198,191.495	13.137,6.230
186.192,0.358	186.192,7.966	0.122,785.066	5.725,785.066
2.614,5.538	146.255,0.064	0.084,119.562
121.889,0.022	0.149,77.289
63.809,0.263	0.040,276.588
35.835,0.012	0.910,1.098	0.910,60.467
2.680,0.987	213.104,0.068	1.420,88.101
96.330,0.060	0.105,90.915
182.831,0.057	0.690,28.091	6.668,28.091
131.065,0.007	0.217,53.654	5.392,53.654
0.809,1.725	77.744,0.034	0.015,32.174
30.509,0.079	0.011,150.183
131.160,0.207	131.160,3.340	0.836,110.109
121.658,0.050	0.032,123.676	1.906,123.676
0.625,1.581	40.134,0.750	0.008,84.628
0.884,0.373	40.427,0.004	0.026,11.876
25.449,34.486
81.244,0.017
0.591,0.770	58.923,0.021	0.102,49.595
216.197,0.049	0.933,68.862
0.031,511.393
76.471,0.356	0.014,128.719
559.030,0.028	0.145,130.926	13.637,1.952
66.629,0.415	0.016,198.390
205.505,0.043
97.909,0.020	0.081,114.280
9.001,0.435	357.446,0.435	0.161,256.536
143.504,0.067	0.041,133.952
4.264,0.754	236.119,0.017	0.149,71.278
67.071,0.330	0.015,129.197
0.057,727.476
32.340,0.058	0.143,97.337
2.238,0.612	29.245,0.024	0.023,51.242
35.700,0.353	0.019,469.889
204.259,0.030	0.099,105.251
2.511,7.462	88.464,0.101	0.027,119.604
5.873,0.066	268.337,0.066
1.576,2.107	119.857,0.080	0.042,109.600
261.648,0.069	0.043,205.407
0.329,1.713	23.943,0.027	0.005,51.290
214.129,0.017
177.457,0.110	0.078,5.574	5.464,5.574	0.078,126.317	5.464,126.317
0.402,0.557	11.729,0.036	0.008,53.550
601.024,0.097	0.321,85.419
228.052,0.279	228.052,4.109	0.242,248.092
98.125,0.121
268.935,0.170	0.034,818.031
253.947,0.026	0.075,55.603	4.094,55.603
15.945,0.351	15.945,3.717	0.006,303.852
0.002,5.569	0.002,173.268
1.676,2.161	40.528,0.325	0.036,134.911
38.152,0.035	0.034,243.166	1.914,243.166
5.379,0.008	127.504,0.008	0.065,42.752
112.004,0.028	0.027,108.441
442.227,0.376	0.348,113.405	30.600,9.941
95.385,0.079	0.058,3.173	0.058,183.622
80.427,0.010	0.023,64.101	1.705,64.101
53.013,0.088	0.053,128.838
3.141,4.284	180.090,0.056	0.272,395.017
0.845,2.033	82.681,0.027	0.111,67.904
367.769,0.063	0.142,454.986
188.762,0.298	0.919,96.894
105.425,0.036	105.425,3.393	0.038,303.780	2.151,303.780
26.210,0.478	0.010,326.568	0.870,326.568
182.143,0.046	182.143,2.770	0.033,178.352
77.747,0.376	0.056,61.148
5.494,0.017	123.124,0.017	0.057,83.902
3.080,0.020	85.468,0.020	3.080,1.881	85.468,1.881	0.075,183.143
2.211,4.248	149.823,0.712	0.023,72.835
1.723,0.068	82.303,0.068	0.686,146.001
0.171,3.884	13.181,0.042	0.004,275.420
0.015,3.122	0.015,170.134
44.361,0.035	0.017,62.022
73.164,0.730	0.228,363.008
442.750,0.075	1.176,89.905	5.938,4.028
2.496,0.134	181.157,0.002
5.374,0.020	248.498,0.020	0.071,57.769
0.697,1.653	52.857,0.019	0.008,124.912
0.299,1.624	25.907,0.022	0.005,38.066
104.881,0.015	0.116,39.627
1.480,0.142	80.614,0.142	0.018,99.188
1.403,0.772	96.745,0.064	0.061,17.875
36.800,0.015	0.033,66.824	0.932,66.824
3.239,2.263	38.558,0.026	0.065,108.222
1.765,0.026	68.799,0.026	1.765,0.745	68.799,0.745	0.053,53.043
85.804,0.550	0.019,131.868
117.152,0.018	117.152,1.080	0.024,58.855
1.958,1.525	107.429,0.019	0.039,73.143
4.065,4.016	182.661,0.077	0.237,398.675	10.666,7.612
343.261,0.018	0.232,59.998	8.668,59.998
86.854,0.592	0.075,425.727	1.229,425.727
115.387,0.014	0.026,42.846	2.289,42.846
131.752,0.043	0.422,261.835	7.735,261.835
150.706,0.080	0.076,253.410	3.725,253.410
55.935,0.112	0.081,97.256
93.576,0.028	0.022,24.536
146.578,0.374	0.430,375.744	42.333,5.319
185.292,0.199	185.292,2.350	0.087,144.602
0.364,0.389	30.355,0.022	0.005,33.491
199.011,0.015	199.011,1.426	0.513,123.459
0.008,86.547
65.381,0.277	0.051,3.965	0.051,115.001
103.834,0.100	0.146,286.077
170.085,0.031	0.073,136.647
42.764,0.187	0.010,123.814
0.239,0.458	22.263,0.006	0.002,38.634
26.673,0.015	0.006,43.081
1.322,0.020	80.095,0.020	0.059,44.213
62.645,0.079	0.958,99.859
147.315,0.021	0.345,61.527	1.954,61.527
291.848,0.187	0.344,20.542
89.652,0.223	0.013,212.385
68.006,6.009	0.123,82.577
0.935,0.053	28.656,0.005	0.935,4.488
1.388,1.897	73.363,0.026	0.024,116.168
0.515,0.049	45.138,0.049	0.009,156.860
61.235,0.087	61.235,4.235	0.014,398.655
115.166,0.568	0.035,201.323
1.145,0.204	72.229,0.004	0.012,13.952
92.074,0.034	0.114,172.370
144.506,0.940	0.016,182.073
107.344,0.061	0.020,5.084	0.020,230.462
102.873,0.009	0.018,76.982	1.613,76.982
0.361,0.052	16.936,0.004
64.672,0.018	0.191,31.305
1.625,1.807	149.247,0.041	0.815,91.304
1.800,2.923	97.356,0.045	0.023,132.599
0.143,547.469	4.228,95.280
291.633,0.009	0.651,47.938	3.959,47.938
1.175,0.995	92.180,0.010	0.297,88.522
0.347,0.324	26.965,0.011	0.035,25.999
5.062,0.126	0.001,160.697
0.220,1.765	7.649,0.083	0.004,63.120
33.713,0.050	0.019,4.444	0.019,28.696
36.178,0.135	0.007,172.588
3.012,1.277	247.471,0.018	0.052,44.326
1.853,0.326	126.145,0.040	0.095,22.547
133.433,0.307	0.105,165.022
1.742,3.722	145.226,0.048	0.021,217.702
0.355,3.677	24.409,0.087	0.004,37.252
5.531,0.143	139.391,0.143	0.142,1.770	0.142,96.686
1.928,1.200	81.988,0.028	0.088,65.967
141.774,0.034	0.071,1.757	4.012,1.757	0.071,116.720	4.012,116.720
49.940,0.008	0.014,49.844	0.829,49.844
190.810,0.022	0.276,25.702
3.426,1.162	154.410,1.162	0.038,547.469
438.561,0.087	438.561,7.430	0.161,74.321
1.410,0.431	72.907,0.061	0.021,22.787
50.326,0.234	0.011,1.948	0.011,186.756
1.304,0.904	40.160,0.011	0.015,33.924
2.910,1.845	144.506,0.026	0.129,182.073
80.744,0.673	0.096,188.039
4.114,1.897	114.507,0.031	0.045,117.022
1.031,1.669	56.731,0.203	0.150,80.648	8.242,9.793
405.853,0.351	0.303,29.609	14.966,16.315
0.011,112.577
126.930,0.523	0.337,98.278	2.043,98.278
0.141,0.756	11.643,0.020	0.013,59.693
20.708,3.379	0.011,260.678
8.813,0.061	61.773,0.061	0.096,351.995
97.102,0.069	0.033,3.164	0.033,209.139
111.562,0.459	0.050,98.238
38.216,0.644	0.006,464.564
279.202,0.017
0.001,87.682
624.146,0.038	0.175,2.048	0.175,117.317
74.230,0.023	0.011,1.652	0.011,68.789
105.562,1.061	105.562,3.970	0.079,211.612
37.139,0.049	1.922,188.236
0.641,0.280	58.689,0.031	0.036,23.802
0.345,0.350	23.984,0.004	0.006,25.954
48.253,0.017	0.009,1.087	0.009,16.752
1.316,0.783	53.899,0.012	0.013,53.401
418.655,0.011	0.129,37.288
8.287,0.006	230.416,0.006	0.302,46.138
27.781,0.145	0.053,435.268
30.815,0.164	0.069,359.448
90.297,0.028	0.028,115.809
3.650,0.833	230.446,0.833	0.244,414.371	15.393,17.801
143.093,0.037	143.093,2.400	0.069,174.945
49.280,0.177	0.025,3.077	0.025,152.911
315.367,0.019	0.704,63.218
0.436,2.342	34.109,0.055	0.005,99.907
17.963,0.632	0.037,155.450	1.736,155.450
0.614,3.411	49.056,0.131	0.009,304.251
2.568,1.554	150.296,0.052	0.099,154.907
1.242,2.673	118.483,0.039	0.040,100.272
6.145,0.194	103.886,0.020
1.996,0.768	105.398,0.090	105.398,3.763	0.283,32.111
17.573,1.045	0.007,314.150
0.349,1.984	23.813,0.089	0.004,95.020
0.614,0.511	35.586,0.009	0.009,48.649
41.520,0.036	0.024,103.819
1.051,0.868	80.402,0.019	0.019,83.007
126.933,0.142	0.072,133.895
264.462,0.005	0.063,0.297	3.155,0.297	0.063,28.162	3.155,28.162
123.530,0.027	123.530,1.019	0.095,74.746
136.436,0.190	136.436,2.868	0.087,91.786
2.864,0.690	144.877,0.069	144.877,3.856	0.045,38.336
4.697,0.015	272.822,0.015	0.183,46.078
0.003,163.537
7.417,0.108	7.417,1.191	0.006,86.083
0.795,0.023	36.572,0.023	0.084,101.529
2.107,2.644	174.355,0.095	0.032,96.530
0.077,1.407	4.509,0.033	0.002,108.780
120.460,0.040	120.460,1.518	0.025,124.887
4.549,0.118	405.280,0.118	0.091,143.324
0.324,3.230	23.140,0.154	0.004,96.637
4.784,0.003	174.929,0.003	0.075,14.072
78.341,0.151	0.075,50.659	2.542,13.370
57.736,0.013	1.867,6.826
1.383,0.385	45.234,0.004	0.052,8.246
145.202,0.111	0.042,2.187	0.042,141.461
2.395,1.617	55.637,0.030	0.058,88.093
118.379,0.284	0.286,82.505
46.209,0.062	0.174,59.755
1.236,0.011	32.070,0.011	0.016,43.136
1.527,0.023	139.569,0.023	0.022,76.449
43.571,0.120	0.016,222.694
5.584,0.253	111.529,0.003	0.067,17.380
438.820,0.006	1.028,25.013
1.664,0.099	118.122,0.001
56.175,0.554	0.022,116.847
682.065,0.084	328.639,6.817
75.391,0.100	75.391,2.581	0.008,112.162
148.187,0.024	0.029,1.624	0.029,111.699
424.927,0.045	0.117,50.242
1.038,0.473	78.085,0.007	0.011,43.531
1.538,0.042	58.606,0.000
10.778,3.507	0.003,109.274
82.938,0.640	0.011,337.336
508.735,0.055	0.339,105.892
2.076,0.001	129.072,0.001
121.032,0.025	0.175,8.893
1.765,3.080	82.932,0.108	0.428,81.720
233.458,0.017	0.161,45.810
1.866,0.066	158.424,0.066	0.049,136.889
0.718,1.201	58.437,0.014	0.009,73.369
109.256,0.214	0.022,351.335
1.500,0.643	116.743,0.060	0.016,62.934
0.954,0.829	71.810,0.011	0.035,79.761
0.235,1.195	19.874,0.013	0.003,86.590
123.354,0.012	0.352,9.805
0.575,0.315	0.029,25.744
181.549,0.005	0.222,20.392
0.417,0.104	30.123,0.002	0.005,4.778
36.240,0.042	0.013,55.973	0.633,55.973
5.170,0.283	199.805,0.283	0.108,110.016
0.857,1.596	49.427,0.038	0.012,66.542
43.428,0.013	0.012,1.237	0.012,76.912
1.843,0.070	49.555,0.070	1.843,1.419	49.555,1.419	0.089,90.326
1.419,0.068	99.812,0.068	0.022,127.919
1.223,0.421	115.145,0.014	0.039,40.942
107.597,0.061	0.021,131.758	1.150,131.758
68.765,1.401	23.780,53.023
69.691,0.012	0.050,0.466	0.050,44.126
137.576,0.046	0.038,245.990	2.889,245.990
170.474,0.014	0.090,58.644
0.010,471.145
0.640,0.660	10.165,0.010	0.007,41.410
66.413,0.006	0.244,15.823
65.779,0.139	65.779,8.088	0.221,132.820
59.442,0.345	1.297,53.170
386.686,0.102	0.334,602.122
1.258,0.235	67.817,0.007	0.030,17.764
0.113,3.642	4.370,3.642	0.007,33.900
3.564,0.607	117.002,0.122	0.045,57.620
194.347,0.081	0.995,151.184	16.593,5.370
0.003,200.274
408.202,0.019	0.123,108.964
5.342,0.050	513.652,0.001
0.385,1.131	14.894,0.042	0.009,108.254
1.232,0.801	24.479,0.008	0.050,33.763
57.260,0.531	0.045,383.950
161.564,0.413	0.018,248.589	1.758,248.589
4.377,0.076	363.079,0.076	4.377,4.791	363.079,4.791	0.069,68.247
3.779,1.117	91.197,0.011	0.059,92.249
384.452,1.254	0.170,47.427	11.764,9.556
138.701,0.071	0.934,4.774	0.934,148.925
1.587,0.912	92.910,0.039	0.021,35.787
0.492,0.889	45.256,0.016	0.014,81.839
39.262,0.254	0.013,70.732
0.847,0.427	60.954,0.427	0.027,120.611
0.951,0.039	81.359,0.039	0.029,154.117
2.500,1.227	150.231,0.014	0.033,119.417
2.158,1.083	163.554,0.024	0.024,20.637
6.094,0.020	90.734,0.020	0.121,55.224
1.488,3.244	54.499,0.035	0.037,113.208
1.418,0.011	28.393,0.011	0.166,13.993
41.314,0.938	0.056,238.714
35.267,0.632	0.034,8.651	0.034,374.379
0.135,0.220	0.002,14.447
207.416,0.023	0.142,85.708
248.292,0.015	0.351,1.173	0.351,53.339
67.372,0.045	0.016,129.617
72.730,1.081	0.023,8.583	0.023,545.305
2.154,0.008	70.557,0.008	0.024,61.151
7.859,0.723	196.891,0.723	0.099,62.283
0.324,0.123	29.227,0.002	0.003,5.341
1.077,2.248	95.083,0.029	0.016,53.185
186.035,0.073	0.023,484.921
0.006,2.345	0.006,84.285
0.322,0.142	23.052,0.013	0.004,7.712
155.899,0.024	155.899,1.850	0.020,129.361
1.103,0.227	40.145,0.003	0.078,20.570	2.851,20.570
2.461,1.092	222.106,0.013	0.272,23.843
59.771,0.161	0.219,5.399	1.849,5.399	0.219,318.664	1.849,318.664
279.504,0.080	279.504,4.984	0.224,107.419
1.203,0.362	84.841,0.004	0.020,16.201
1.818,0.002	146.185,0.002	0.024,15.049
641.194,0.006	0.263,22.417
4.280,0.266	255.148,0.266	1.121,344.342	66.805,17.576
0.002,117.177
1.917,0.130	151.986,0.130	0.031,7.923	0.031,496.569
56.648,0.013	0.038,23.265	0.616,23.265
0.875,1.604	68.243,0.024	0.088,44.735
29.282,0.055	0.013,2.402	0.013,144.192
0.296,0.009	11.499,0.009	0.018,39.697
0.541,1.116	0.014,85.661
1.821,4.606	0.035,374.051	1.821,7.796
2.058,1.894	100.150,0.033	0.386,177.660
773.638,0.016	3.676,29.616
223.348,0.321	0.050,115.299	4.078,115.299
132.594,0.011	0.115,86.435
2.608,0.607	146.389,0.032	146.389,3.211	0.223,60.026
0.002,687.648
1.967,1.026	67.168,0.145	0.040,40.090
57.259,0.093	0.031,31.441
3.947,0.023	168.406,0.023	0.044,119.844
100.489,0.007	0.033,34.862
2.380,1.034	161.885,0.052	0.024,96.152
154.709,0.037	0.093,2.019	0.093,148.211
0.418,1.397	15.977,0.050	0.008,133.056
1.524,0.641	119.784,0.012	0.016,49.504
75.981,0.540	0.031,91.788
0.023,464.169
148.565,0.021	0.063,1.932	1.569,1.932	0.063,112.669	1.569,112.669
38.257,0.219	0.019,513.215
743.107,0.575	0.192,790.830	16.210,20.303
0.218,0.831	17.368,0.066	0.006,66.461
3.537,0.057	92.425,0.057	0.608,4.144	0.608,359.197
0.007,4.881	0.007,152.540
4.926,1.763	464.870,0.025	0.065,165.028
1.246,0.146	72.733,0.002	0.215,11.723
0.036,4.050	3.428,4.050	0.001,346.125
95.411,0.336	0.101,776.562
0.022,277.553
0.363,0.077	27.381,0.003	0.020,6.579
0.006,183.160
246.101,0.028	0.042,2.710	0.042,93.952
186.405,0.036	1.386,74.698
1.048,0.919	69.254,0.017	0.015,75.895
589.592,0.012	0.509,54.258
139.574,0.086	0.199,286.690	7.735,7.690
0.678,0.429	46.008,0.022	0.042,30.651
4.760,6.010	171.674,0.084	0.069,134.763
94.448,0.056	1.274,3.484	1.274,114.002
26.590,0.119	0.047,5.281	0.047,41.858
55.515,1.134	0.038,208.897	1.933,208.897
123.016,0.715	0.045,581.660
1.453,0.056	72.900,0.001
440.874,0.127	0.059,423.766	5.827,423.766
0.485,2.519	38.876,0.083	0.027,115.047
0.788,0.732	49.505,0.732	0.023,94.560
171.696,0.049	0.955,86.775	3.986,2.528
3.806,0.518	56.483,0.518	0.106,71.644
0.001,2.159	0.001,59.357
5.510,3.276	107.967,0.177	0.370,293.998
94.181,0.011	0.140,19.180
135.731,0.015	0.393,125.366	4.722,125.366
32.233,0.035	0.010,141.668	0.591,141.668
40.501,0.018	0.175,50.664
0.026,1.890	0.026,78.825
18.772,0.010	0.012,24.801
92.876,0.096
1.586,0.214	87.223,0.214	0.019,246.179
0.001,3.162	0.001,193.798
254.628,0.060	0.909,78.009
75.518,0.084	0.018,2.291	1.106,2.291	0.018,78.790	1.106,78.790
31.312,7.864	0.051,33.586
119.454,0.026	0.069,84.731	3.161,84.731
187.348,0.128
3.726,0.112	93.314,0.112	0.045,9.135	0.045,499.192
4.138,0.034	127.780,0.034	4.138,0.899	127.780,0.899	0.186,43.349
10.798,0.162	0.024,385.420
185.160,0.130	185.160,1.384	0.024,91.021
629.583,0.320	0.127,17.070
292.382,0.168	0.105,1.812	0.105,80.101	4.858,7.435
163.754,0.026	0.159,0.644	0.159,55.189
2.076,0.622	72.070,0.062	72.070,4.523	0.029,45.667
149.221,0.030	0.287,178.080
62.989,0.390	0.041,670.085
202.720,0.600	0.049,70.523	3.677,70.523
27.706,0.137	0.021,45.154
